City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,muang phonsavan,19.45,103.2167,292.68,99,100,0.89,LA,1689869240
231,ujae,8.9322,165.7642,301.73,76,100,8.91,MH,1689869241
232,qaqortoq,60.7167,-46.0333,281.78,87,100,3.53,GL,1689869114
233,haimen,23.1935,116.6142,300.43,88,35,1.75,CN,1689869241
234,new norfolk,-42.7826,147.0587,280.21,97,65,1.33,AU,1689868973
235,nuuk,64.1835,-51.7216,282.49,100,75,1.54,GL,1689869242
236,egilsstadir,65.2653,-14.3948,286.06,63,38,3.56,IS,1689869242
237,codrington,-38.2667,141.9667,280.58,78,43,4.55,AU,1689869016
238,stephenville,32.2207,-98.2023,308.08,38,0,3.6,US,1689869243
239,lata,40.1629,-8.3327,296.52,46,0,5.87,PT,1689869167
240,lawrenceburg,38.0373,-84.8966,301.96,70,20,0.89,US,1689869243
241,magadan,59.5667,150.8,286.41,88,48,2.05,RU,1689869244
242,minas de marcona,-15.2119,-75.1103,290.91,60,34,3.59,PE,1689869244
243,badiyah,22.45,58.8,308.69,36,99,5.03,OM,1689869244
244,bubaque,11.2833,-15.8333,299.49,84,100,7.88,GW,1689869029
245,chifeng,42.2683,118.9636,296.25,68,62,0.19,CN,1689869244
246,castillos,-34.1667,-53.8333,289.43,71,100,4.72,UY,1689869245
247,bhaisa,19.1,77.9667,296.94,91,95,6.69,IN,1689869245
248,barranca,-10.75,-77.7667,294.14,70,48,3.89,PE,1689869180
249,north platte,41.1239,-100.7654,296.55,59,0,4.02,US,1689869245
250,maile,-38.9466,-72.3727,284.49,88,100,6.01,CL,1689869246
251,dalandzadgad,43.5708,104.425,288.76,74,100,4.54,MN,1689869246
252,taounate,34.5,-4.8333,311.55,24,4,7.19,MA,1689869246
253,princeville,45.7668,-61.2985,299.61,88,100,0.32,CA,1689869247
254,okha,53.5739,142.9478,284.15,94,100,5.53,RU,1689869247
255,bayganin,48.6947,55.8742,298.67,42,74,3.55,KZ,1689869247
256,kenora,49.8167,-94.4337,293.58,77,4,4.02,CA,1689869247
257,vedaraniyam,10.3667,79.85,303.02,74,100,6.07,IN,1689869248
258,gilgit,35.9221,74.3087,298.63,78,100,1.87,PK,1689869248
259,palmer,42.1584,-72.3287,301.38,54,9,0.45,US,1689869248
260,kailua-kona,19.6406,-155.9956,301.26,91,75,4.63,US,1689869028
261,isiro,2.7739,27.616,297.0,74,79,1.28,CD,1689869248
262,arno,60.1167,18.6333,289.57,71,79,1.18,SE,1689869249
263,malaya purga,56.5567,53.0043,292.32,68,75,5.49,RU,1689869249
264,klaksvik,62.2266,-6.589,282.66,93,100,8.83,FO,1689869249
265,san jose,37.3394,-121.895,297.51,64,20,1.54,US,1689869030
266,arraial do cabo,-22.9661,-42.0278,296.07,64,75,7.72,BR,1689869130
267,ostersund,63.1792,14.6357,287.4,33,0,1.54,SE,1689868855
268,shanwei,22.782,115.3475,301.55,84,50,1.21,CN,1689869250
269,rhinelander,45.6366,-89.4121,291.69,82,100,3.6,US,1689869250
270,vezirkopru,41.1436,35.4547,301.42,57,0,2.03,TR,1689869251
271,labrador city,52.9463,-66.9114,289.39,65,91,3.56,CA,1689869251
272,illapel,-31.6308,-71.1653,294.48,30,100,0.89,CL,1689869251
273,vorgashor,67.5833,63.95,295.13,70,93,2.95,RU,1689869251
274,khandyga,62.6667,135.6,288.58,83,81,1.5,RU,1689869252
275,luwuk,-0.9516,122.7875,298.1,86,11,2.24,ID,1689869252
276,grosseto,42.8333,11.25,308.15,34,0,3.78,IT,1689869252
277,smithfield,41.922,-71.5495,302.31,56,0,0.45,US,1689869252
278,nemuro,43.3236,145.575,287.06,92,31,2.36,JP,1689869252
279,keflavik,64.0049,-22.5624,285.39,82,75,3.09,IS,1689869253
280,at taj,24.2049,23.2857,311.24,10,0,6.19,LY,1689869098
281,puerto deseado,-47.7503,-65.8938,282.29,70,100,7.06,AR,1689869253
282,massenya,11.4039,16.1705,304.42,43,100,3.85,TD,1689869253
283,korla,41.7597,86.1469,306.44,19,14,4.99,CN,1689869253
284,ban houakhoua,20.2453,100.4547,296.62,99,96,0.14,LA,1689869254
285,vanimo,-2.6741,141.3028,298.25,90,85,2.56,PG,1689869254
286,porto novo,6.4965,2.6036,301.15,71,78,5.88,BJ,1689869254
287,tolanaro,-25.0319,46.9987,295.19,88,20,1.03,MG,1689869120
288,culiacan,24.7994,-107.3897,305.97,55,40,0.0,MX,1689868979
289,gaspe,48.8334,-64.4819,295.98,55,12,2.15,CA,1689869255
290,amga,60.8953,131.9608,286.47,99,100,2.69,RU,1689869255
291,tacuarembo,-31.7333,-55.9833,288.62,79,100,3.45,UY,1689869255
292,sept-iles,50.2001,-66.3821,291.56,69,91,5.06,CA,1689869256
